Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 100.00 mV	 0 V	 13.430 pA	 -15.28000000 pS
2	 -450.0 mV	 0 V	 100.00 mV	 0 V	 12.666 pA	 -22.54000000 pS
3	 -400.0 mV	 0 V	 100.00 mV	 0 V	 11.176 pA	 3.050000000 pS
4	 -350.0 mV	 0 V	 100.00 mV	 0 V	 12.971 pA	 10.49000000 pS
5	 -300.0 mV	 0 V	 100.00 mV	 0 V	 12.225 pA	 -9.630000000 pS
6	 -250.0 mV	 0 V	 100.00 mV	 0 V	 12.008 pA	 -2.920000000 pS
7	 -200.0 mV	 0 V	 100.00 mV	 0 V	 11.933 pA	 -15.27000000 pS
8	 -150.0 mV	 0 V	 100.00 mV	 0 V	 10.481 pA	 18.61000000 pS
9	 -100.0 mV	 0 V	 100.00 mV	 0 V	 13.794 pA	 -8.490000000 pS
10	 -50.0 mV	 0 V	 100.00 mV	 0 V	 9.632 pA	 -67.00000000 pS
11	 0 V	 0 V	 100.00 mV	 0 V	 7.094 pA	 14.07000000 pS
12	 50.0 mV	 0 V	 100.00 mV	 0 V	 11.039 pA	 27.26000000 pS
13	 100.0 mV	 0 V	 100.00 mV	 0 V	 9.820 pA	 2.520000000 pS
14	 150.0 mV	 0 V	 100.00 mV	 0 V	 11.291 pA	 40.58000000 pS
15	 200.0 mV	 0 V	 100.00 mV	 0 V	 13.878 pA	 -3.170000000 pS
16	 250.0 mV	 0 V	 100.00 mV	 0 V	 10.974 pA	 -16.34000000 pS
17	 300.0 mV	 0 V	 100.00 mV	 0 V	 12.244 pA	 8.870000000 pS
18	 350.0 mV	 0 V	 100.00 mV	 0 V	 11.861 pA	 -6.800000000 pS
19	 400.0 mV	 0 V	 100.00 mV	 0 V	 11.564 pA	 5.840000000 pS
20	 450.0 mV	 0 V	 100.00 mV	 0 V	 12.445 pA	 120.0000000 fS
21	 500.0 mV	 0 V	 100.00 mV	 0 V	 11.576 pA	 10.94000000 pS
22	 550.0 mV	 0 V	 100.00 mV	 0 V	 13.539 pA	 -7.300000000 pS
23	 600.0 mV	 0 V	 100.00 mV	 0 V	 10.846 pA	 -10.65000000 pS
24	 650.0 mV	 0 V	 100.00 mV	 0 V	 12.474 pA	 29.92000000 pS
25	 700.0 mV	 0 V	 100.00 mV	 0 V	 13.838 pA	 33.38000000 pS
26	 750.0 mV	 0 V	 100.00 mV	 0 V	 15.812 pA	 68.47000000 pS
27	 800.0 mV	 0 V	 100.00 mV	 0 V	 20.685 pA	 188.1700000 pS
28	 850.0 mV	 0 V	 100.00 mV	 0 V	 34.629 pA	 468.0400000 pS
29	 900.0 mV	 0 V	 100.00 mV	 0 V	 67.489 pA	 1.207340000 nS
30	 950.0 mV	 0 V	 100.00 mV	 0 V	 155.363 pA	 2.929910000 nS
31	 1.0000 V	 0 V	 100.00 mV	 0 V	 360.48 pA	 8.954970000 nS
32	 1.0500 V	 0 V	 100.00 mV	 0 V	 1.05086 nA	 20.83920000 nS
33	 1.1000 V	 0 V	 100.00 mV	 0 V	 2.4444 nA	 56.80040000 nS
34	 1.1500 V	 0 V	 100.00 mV	 0 V	 6.7309 nA	 136.1350000 nS
35	 1.2000 V	 0 V	 100.00 mV	 0 V	 16.0579 nA	 374.4610000 nS
36	 1.2500 V	 0 V	 100.00 mV	 0 V	 44.177 nA	 820.6910000 nS
37	 1.3000 V	 0 V	 100.00 mV	 0 V	 98.127 nA	 1.617610000 uS
38	 1.3500 V	 0 V	 100.00 mV	 0 V	 205.938 nA	 3.160030000 uS
39	 1.4000 V	 0 V	 100.00 mV	 0 V	 414.13 nA	 5.253820000 uS
40	 1.4500 V	 0 V	 100.00 mV	 0 V	 731.32 nA	 8.163200000 uS
41	 1.5000 V	 0 V	 100.00 mV	 0 V	 1.23045 uA	 11.43830000 uS
42	 1.5500 V	 0 V	 100.00 mV	 0 V	 1.87515 uA	 15.52000000 uS
43	 1.6000 V	 0 V	 100.00 mV	 0 V	 2.78245 uA	 22.22690000 uS
44	 1.6500 V	 0 V	 100.00 mV	 0 V	 4.09784 uA	 24.20110000 uS
45	 1.7000 V	 0 V	 100.00 mV	 0 V	 5.20256 uA	 25.32260000 uS
46	 1.7500 V	 0 V	 100.00 mV	 0 V	 6.6301 uA	 30.15140000 uS
47	 1.8000 V	 0 V	 100.00 mV	 0 V	 8.2177 uA	 33.74200000 uS
48	 1.8500 V	 0 V	 100.00 mV	 0 V	 10.0043 uA	 36.17700000 uS
49	 1.9000 V	 0 V	 100.00 mV	 0 V	 11.8354 uA	 37.97800000 uS
50	 1.9500 V	 0 V	 100.00 mV	 0 V	 13.8021 uA	 37.88300000 uS
51	 2.0000 V	 0 V	 100.00 mV	 0 V	 15.6237 uA	 39.36600000 uS
52	 2.0500 V	 0 V	 100.00 mV	 0 V	 17.7387 uA	 38.22800000 uS
53	 2.1000 V	 0 V	 100.00 mV	 0 V	 19.4465 uA	 38.57600000 uS
54	 2.1500 V	 0 V	 100.00 mV	 0 V	 21.5963 uA	 40.09100000 uS
55	 2.2000 V	 0 V	 100.00 mV	 0 V	 23.4556 uA	 37.32000000 uS
56	 2.2500 V	 0 V	 100.00 mV	 0 V	 25.3283 uA	 39.42800000 uS
57	 2.3000 V	 0 V	 100.00 mV	 0 V	 27.3984 uA	 39.52900000 uS
58	 2.3500 V	 0 V	 100.00 mV	 0 V	 29.2812 uA	 37.52200000 uS
59	 2.4000 V	 0 V	 100.00 mV	 0 V	 31.1506 uA	 37.20000000 uS
60	 2.4500 V	 0 V	 100.00 mV	 0 V	 33.0012 uA	 37.79200000 uS
61	 2.5000 V	 0 V	 100.00 mV	 0 V	 34.9298 uA	 38.54900000 uS
62	 2.5500 V	 0 V	 100.00 mV	 0 V	 36.8561 uA	 37.24600000 uS
63	 2.6000 V	 0 V	 100.00 mV	 0 V	 38.6544 uA	 34.28800000 uS
64	 2.6500 V	 0 V	 100.00 mV	 0 V	 40.2849 uA	 39.62600000 uS
65	 2.7000 V	 0 V	 100.00 mV	 0 V	 42.6170 uA	 37.82900000 uS
66	 2.7500 V	 0 V	 100.00 mV	 0 V	 44.0678 uA	 33.18700000 uS
67	 2.8000 V	 0 V	 100.00 mV	 0 V	 45.9357 uA	 33.83700000 uS
68	 2.8500 V	 0 V	 100.00 mV	 0 V	 47.4515 uA	 30.75600000 uS
69	 2.9000 V	 0 V	 100.00 mV	 0 V	 49.0113 uA	 30.63800000 uS
70	 2.9500 V	 0 V	 100.00 mV	 0 V	 50.5153 uA	 31.36000000 uS
71	 3.0000 V	 0 V	 100.00 mV	 0 V	 52.1473 uA	 32.25500000 uS
72	 3.0500 V	 0 V	 100.00 mV	 0 V	 53.7408 uA	 29.54400000 uS
73	 3.1000 V	 0 V	 100.00 mV	 0 V	 55.1017 uA	 27.71800000 uS
74	 3.1500 V	 0 V	 100.00 mV	 0 V	 56.5126 uA	 28.90900000 uS
75	 3.2000 V	 0 V	 100.00 mV	 0 V	 57.9926 uA	 29.41800000 uS
76	 3.2500 V	 0 V	 100.00 mV	 0 V	 59.4544 uA	 28.82000000 uS
77	 3.3000 V	 0 V	 100.00 mV	 0 V	 60.8746 uA	 27.89600000 uS
78	 3.3500 V	 0 V	 100.00 mV	 0 V	 62.2440 uA	 27.45300000 uS
79	 3.4000 V	 0 V	 100.00 mV	 0 V	 63.6199 uA	 27.59600000 uS
80	 3.4500 V	 0 V	 100.00 mV	 0 V	 65.0036 uA	 27.07500000 uS
81	 3.5000 V	 0 V	 100.00 mV	 0 V	 66.3274 uA	 25.86500000 uS
82	 3.5500 V	 0 V	 100.00 mV	 0 V	 67.5901 uA	 26.21300000 uS
83	 3.6000 V	 0 V	 100.00 mV	 0 V	 68.9487 uA	 26.80500000 uS
84	 3.6500 V	 0 V	 100.00 mV	 0 V	 70.2706 uA	 24.77400000 uS
85	 3.7000 V	 0 V	 100.00 mV	 0 V	 71.4261 uA	 26.21300000 uS
86	 3.7500 V	 0 V	 100.00 mV	 0 V	 72.8919 uA	 25.87700000 uS
87	 3.8000 V	 0 V	 100.00 mV	 0 V	 74.0138 uA	 22.17400000 uS
88	 3.8500 V	 0 V	 100.00 mV	 0 V	 75.1093 uA	 23.91300000 uS
89	 3.9000 V	 0 V	 100.00 mV	 0 V	 76.4051 uA	 24.12300000 uS
90	 3.9500 V	 0 V	 100.00 mV	 0 V	 77.5216 uA	 20.14700000 uS
91	 4.0000 V	 0 V	 100.00 mV	 0 V	 78.4198 uA	 19.90100000 uS
92	 4.0500 V	 0 V	 100.00 mV	 0 V	 79.5117 uA	 21.02900000 uS
93	 4.1000 V	 0 V	 100.00 mV	 0 V	 80.5227 uA	 20.12000000 uS
94	 4.1500 V	 0 V	 100.00 mV	 0 V	 81.5237 uA	 19.93900000 uS
95	 4.2000 V	 0 V	 100.00 mV	 0 V	 82.5166 uA	 22.52100000 uS
96	 4.2500 V	 0 V	 100.00 mV	 0 V	 83.7758 uA	 19.52500000 uS
97	 4.3000 V	 0 V	 100.00 mV	 0 V	 84.4691 uA	 16.86900000 uS
98	 4.3500 V	 0 V	 100.00 mV	 0 V	 85.4627 uA	 19.70200000 uS
99	 4.4000 V	 0 V	 100.00 mV	 0 V	 86.4393 uA	 19.20800000 uS
100	 4.4500 V	 0 V	 100.00 mV	 0 V	 87.3835 uA	 18.25300000 uS
101	 4.5000 V	 0 V	 100.00 mV	 0 V	 88.2646 uA	 18.61300000 uS
102	 4.5500 V	 0 V	 100.00 mV	 0 V	 89.2448 uA	 22.20400000 uS
103	 4.6000 V	 0 V	 100.00 mV	 0 V	 90.4850 uA	 18.54400000 uS
104	 4.6500 V	 0 V	 100.00 mV	 0 V	 91.0992 uA	 15.38900000 uS
105	 4.7000 V	 0 V	 100.00 mV	 0 V	 92.0239 uA	 17.00400000 uS
106	 4.7500 V	 0 V	 100.00 mV	 0 V	 92.7996 uA	 16.18500000 uS
107	 4.8000 V	 0 V	 100.00 mV	 0 V	 93.6424 uA	 16.91100000 uS
108	 4.8500 V	 0 V	 100.00 mV	 0 V	 94.4907 uA	 17.53200000 uS
109	 4.9000 V	 0 V	 100.00 mV	 0 V	 95.3956 uA	 15.91700000 uS
