Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
1	 -500.0 mV	 0 V	 1.0000 V	 0 V	 1.00068 mA	 123.6000000 uS
2	 -450.0 mV	 0 V	 1.0000 V	 0 V	 1.00686 mA	 122.6200000 uS
3	 -400.0 mV	 0 V	 1.0000 V	 0 V	 1.012942 mA	 124.1000000 uS
4	 -350.0 mV	 0 V	 1.0000 V	 0 V	 1.019270 mA	 133.6000000 uS
5	 -300.0 mV	 0 V	 1.0000 V	 0 V	 1.026302 mA	 134.2300000 uS
6	 -250.0 mV	 0 V	 1.0000 V	 0 V	 1.032693 mA	 130.7700000 uS
7	 -200.0 mV	 0 V	 1.0000 V	 0 V	 1.039379 mA	 134.3300000 uS
8	 -150.0 mV	 0 V	 1.0000 V	 0 V	 1.046126 mA	 134.5400000 uS
9	 -100.0 mV	 0 V	 1.0000 V	 0 V	 1.052833 mA	 139.9300000 uS
10	 -50.0 mV	 0 V	 1.0000 V	 0 V	 1.060119 mA	 143.8600000 uS
11	 0 V	 0 V	 1.0000 V	 0 V	 1.067219 mA	 145.6700000 uS
12	 50.0 mV	 0 V	 1.0000 V	 0 V	 1.074686 mA	 144.6300000 uS
13	 100.0 mV	 0 V	 1.0000 V	 0 V	 1.081682 mA	 143.0900000 uS
14	 150.0 mV	 0 V	 1.0000 V	 0 V	 1.088995 mA	 146.7600000 uS
15	 200.0 mV	 0 V	 1.0000 V	 0 V	 1.096358 mA	 146.2900000 uS
16	 250.0 mV	 0 V	 1.0000 V	 0 V	 1.103624 mA	 145.2600000 uS
17	 300.0 mV	 0 V	 1.0000 V	 0 V	 1.110884 mA	 155.5000000 uS
18	 350.0 mV	 0 V	 1.0000 V	 0 V	 1.119174 mA	 158.7200000 uS
19	 400.0 mV	 0 V	 1.0000 V	 0 V	 1.126756 mA	 155.9600000 uS
20	 450.0 mV	 0 V	 1.0000 V	 0 V	 1.13477 mA	 155.2400000 uS
21	 500.0 mV	 0 V	 1.0000 V	 0 V	 1.14228 mA	 154.9000000 uS
22	 550.0 mV	 0 V	 1.0000 V	 0 V	 1.15026 mA	 158.3000000 uS
23	 600.0 mV	 0 V	 1.0000 V	 0 V	 1.15811 mA	 159.2000000 uS
24	 650.0 mV	 0 V	 1.0000 V	 0 V	 1.16618 mA	 161.9000000 uS
25	 700.0 mV	 0 V	 1.0000 V	 0 V	 1.17430 mA	 161.8000000 uS
26	 750.0 mV	 0 V	 1.0000 V	 0 V	 1.18236 mA	 160.5000000 uS
27	 800.0 mV	 0 V	 1.0000 V	 0 V	 1.19035 mA	 163.2000000 uS
28	 850.0 mV	 0 V	 1.0000 V	 0 V	 1.19868 mA	 163.7000000 uS
29	 900.0 mV	 0 V	 1.0000 V	 0 V	 1.20672 mA	 160.7000000 uS
30	 950.0 mV	 0 V	 1.0000 V	 0 V	 1.21475 mA	 162.1000000 uS
31	 1.0000 V	 0 V	 1.0000 V	 0 V	 1.22293 mA	 163.9000000 uS
32	 1.0500 V	 0 V	 1.0000 V	 0 V	 1.23114 mA	 163.3000000 uS
33	 1.1000 V	 0 V	 1.0000 V	 0 V	 1.23926 mA	 164.5000000 uS
34	 1.1500 V	 0 V	 1.0000 V	 0 V	 1.24759 mA	 163.8000000 uS
35	 1.2000 V	 0 V	 1.0000 V	 0 V	 1.25564 mA	 161.4000000 uS
36	 1.2500 V	 0 V	 1.0000 V	 0 V	 1.26373 mA	 161.9000000 uS
37	 1.3000 V	 0 V	 1.0000 V	 0 V	 1.27183 mA	 162.6000000 uS
38	 1.3500 V	 0 V	 1.0000 V	 0 V	 1.27999 mA	 162.8000000 uS
39	 1.4000 V	 0 V	 1.0000 V	 0 V	 1.28811 mA	 161.9000000 uS
40	 1.4500 V	 0 V	 1.0000 V	 0 V	 1.29618 mA	 162.8000000 uS
41	 1.5000 V	 0 V	 1.0000 V	 0 V	 1.30439 mA	 161.6000000 uS
42	 1.5500 V	 0 V	 1.0000 V	 0 V	 1.31234 mA	 160.9000000 uS
43	 1.6000 V	 0 V	 1.0000 V	 0 V	 1.32048 mA	 162.2000000 uS
44	 1.6500 V	 0 V	 1.0000 V	 0 V	 1.32856 mA	 162.3000000 uS
45	 1.7000 V	 0 V	 1.0000 V	 0 V	 1.33671 mA	 160.6000000 uS
46	 1.7500 V	 0 V	 1.0000 V	 0 V	 1.34462 mA	 158.6000000 uS
47	 1.8000 V	 0 V	 1.0000 V	 0 V	 1.35257 mA	 159.2000000 uS
48	 1.8500 V	 0 V	 1.0000 V	 0 V	 1.36054 mA	 157.5000000 uS
49	 1.9000 V	 0 V	 1.0000 V	 0 V	 1.36832 mA	 157.7000000 uS
50	 1.9500 V	 0 V	 1.0000 V	 0 V	 1.37631 mA	 155.9000000 uS
51	 2.0000 V	 0 V	 1.0000 V	 0 V	 1.38391 mA	 156.6000000 uS
52	 2.0500 V	 0 V	 1.0000 V	 0 V	 1.39197 mA	 158.2000000 uS
53	 2.1000 V	 0 V	 1.0000 V	 0 V	 1.39973 mA	 156.0000000 uS
54	 2.1500 V	 0 V	 1.0000 V	 0 V	 1.40757 mA	 155.7000000 uS
55	 2.2000 V	 0 V	 1.0000 V	 0 V	 1.41530 mA	 154.3000000 uS
56	 2.2500 V	 0 V	 1.0000 V	 0 V	 1.42300 mA	 153.6000000 uS
57	 2.3000 V	 0 V	 1.0000 V	 0 V	 1.43066 mA	 152.0000000 uS
58	 2.3500 V	 0 V	 1.0000 V	 0 V	 1.43820 mA	 151.8000000 uS
59	 2.4000 V	 0 V	 1.0000 V	 0 V	 1.44584 mA	 151.8000000 uS
60	 2.4500 V	 0 V	 1.0000 V	 0 V	 1.45338 mA	 152.3000000 uS
61	 2.5000 V	 0 V	 1.0000 V	 0 V	 1.46107 mA	 153.0000000 uS
62	 2.5500 V	 0 V	 1.0000 V	 0 V	 1.46868 mA	 154.0000000 uS
63	 2.6000 V	 0 V	 1.0000 V	 0 V	 1.47647 mA	 153.1000000 uS
64	 2.6500 V	 0 V	 1.0000 V	 0 V	 1.48399 mA	 148.9000000 uS
65	 2.7000 V	 0 V	 1.0000 V	 0 V	 1.49136 mA	 142.1000000 uS
66	 2.7500 V	 0 V	 1.0000 V	 0 V	 1.49820 mA	 146.0000000 uS
67	 2.8000 V	 0 V	 1.0000 V	 0 V	 1.50596 mA	 151.0000000 uS
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 1.51330 mA	 147.5000000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 1.52071 mA	 143.3000000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 1.52763 mA	 142.4000000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 1.53495 mA	 145.9000000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 1.54222 mA	 145.0000000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 1.54945 mA	 142.6000000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 1.55648 mA	 141.3000000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 1.56358 mA	 141.2000000 uS
