Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 69.6554 mA	 -144.276 nA	 6.965540000 mA/um	 -14.42760000 nA/um	 2.604000000 mS	 260.4000000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 69.7856 mA	 -141.688 nA	 6.978560000 mA/um	 -14.16880000 nA/um	 2.714000000 mS	 271.4000000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 69.9268 mA	 -139.081 nA	 6.992680000 mA/um	 -13.90810000 nA/um	 2.831000000 mS	 283.1000000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 70.0687 mA	 -136.471 nA	 7.006870000 mA/um	 -13.64710000 nA/um	 2.872000000 mS	 287.2000000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 70.2140 mA	 -133.845 nA	 7.021400000 mA/um	 -13.38450000 nA/um	 2.905000000 mS	 290.5000000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 70.3592 mA	 -131.301 nA	 7.035920000 mA/um	 -13.13010000 nA/um	 2.918000000 mS	 291.8000000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 70.5058 mA	 -128.765 nA	 7.050580000 mA/um	 -12.87650000 nA/um	 2.932000000 mS	 293.2000000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 70.6524 mA	 -126.273 nA	 7.065240000 mA/um	 -12.62730000 nA/um	 2.947000000 mS	 294.7000000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 70.8005 mA	 -123.753 nA	 7.080050000 mA/um	 -12.37530000 nA/um	 2.973000000 mS	 297.3000000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 70.9497 mA	 -121.296 nA	 7.094970000 mA/um	 -12.12960000 nA/um	 2.987000000 mS	 298.7000000 uS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 71.0992 mA	 -118.744 nA	 7.109920000 mA/um	 -11.87440000 nA/um	 2.995000000 mS	 299.5000000 uS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 71.2492 mA	 -116.334 nA	 7.124920000 mA/um	 -11.63340000 nA/um	 3.018000000 mS	 301.8000000 uS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 71.4010 mA	 -113.901 nA	 7.140100000 mA/um	 -11.39010000 nA/um	 3.037000000 mS	 303.7000000 uS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 71.5529 mA	 -111.512 nA	 7.155290000 mA/um	 -11.15120000 nA/um	 3.058000000 mS	 305.8000000 uS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 71.7068 mA	 -109.176 nA	 7.170680000 mA/um	 -10.91760000 nA/um	 3.071000000 mS	 307.1000000 uS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 71.8600 mA	 -106.852 nA	 7.186000000 mA/um	 -10.68520000 nA/um	 3.085000000 mS	 308.5000000 uS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 72.0153 mA	 -104.604 nA	 7.201530000 mA/um	 -10.46040000 nA/um	 3.103000000 mS	 310.3000000 uS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 72.1703 mA	 -102.318 nA	 7.217030000 mA/um	 -10.23180000 nA/um	 3.114000000 mS	 311.4000000 uS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 72.3267 mA	 -100.0331 nA	 7.232670000 mA/um	 -10.00331000 nA/um	 3.125000000 mS	 312.5000000 uS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 72.4828 mA	 -97.8470 nA	 7.248280000 mA/um	 -9.784700000 nA/um	 3.143000000 mS	 314.3000000 uS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 72.6410 mA	 -95.6280 nA	 7.264100000 mA/um	 -9.562800000 nA/um	 3.163000000 mS	 316.3000000 uS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 72.7991 mA	 -93.4702 nA	 7.279910000 mA/um	 -9.347020000 nA/um	 3.177000000 mS	 317.7000000 uS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 72.9587 mA	 -91.3558 nA	 7.295870000 mA/um	 -9.135580000 nA/um	 3.185000000 mS	 318.5000000 uS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 73.1176 mA	 -89.2555 nA	 7.311760000 mA/um	 -8.925550000 nA/um	 3.194000000 mS	 319.4000000 uS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 73.2781 mA	 -87.1985 nA	 7.327810000 mA/um	 -8.719850000 nA/um	 3.227000000 mS	 322.7000000 uS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 73.4403 mA	 -85.1372 nA	 7.344030000 mA/um	 -8.513720000 nA/um	 3.237000000 mS	 323.7000000 uS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 73.6018 mA	 -83.1443 nA	 7.360180000 mA/um	 -8.314430000 nA/um	 3.243000000 mS	 324.3000000 uS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 73.7646 mA	 -81.1590 nA	 7.376460000 mA/um	 -8.115900000 nA/um	 3.266000000 mS	 326.6000000 uS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 73.9284 mA	 -79.1937 nA	 7.392840000 mA/um	 -7.919370000 nA/um	 3.269000000 mS	 326.9000000 uS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 74.0915 mA	 -77.2547 nA	 7.409150000 mA/um	 -7.725470000 nA/um	 3.286000000 mS	 328.6000000 uS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 74.2570 mA	 -75.3666 nA	 7.425700000 mA/um	 -7.536660000 nA/um	 3.301000000 mS	 330.1000000 uS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 74.4216 mA	 -73.5080 nA	 7.442160000 mA/um	 -7.350800000 nA/um	 3.306000000 mS	 330.6000000 uS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 74.5876 mA	 -71.6733 nA	 7.458760000 mA/um	 -7.167330000 nA/um	 3.323000000 mS	 332.3000000 uS/um
34	 -350.0 mV	 0 V	 2.0000 V	 0 V	 74.7539 mA	 -69.9004 nA	 7.475390000 mA/um	 -6.990040000 nA/um	 3.332000000 mS	 333.2000000 uS/um
35	 -300.0 mV	 0 V	 2.0000 V	 0 V	 74.9208 mA	 -68.1052 nA	 7.492080000 mA/um	 -6.810520000 nA/um	 3.357000000 mS	 335.7000000 uS/um
36	 -250.0 mV	 0 V	 2.0000 V	 0 V	 75.0896 mA	 -66.3620 nA	 7.508960000 mA/um	 -6.636200000 nA/um	 3.368000000 mS	 336.8000000 uS/um
37	 -200.0 mV	 0 V	 2.0000 V	 0 V	 75.2576 mA	 -64.6459 nA	 7.525760000 mA/um	 -6.464590000 nA/um	 3.370000000 mS	 337.0000000 uS/um
38	 -150.0 mV	 0 V	 2.0000 V	 0 V	 75.4266 mA	 -62.9835 nA	 7.542660000 mA/um	 -6.298350000 nA/um	 3.379000000 mS	 337.9000000 uS/um
39	 -100.0 mV	 0 V	 2.0000 V	 0 V	 75.5955 mA	 -61.3163 nA	 7.559550000 mA/um	 -6.131630000 nA/um	 3.390000000 mS	 339.0000000 uS/um
40	 -50.0 mV	 0 V	 2.0000 V	 0 V	 75.7656 mA	 -59.6811 nA	 7.576560000 mA/um	 -5.968110000 nA/um	 3.403000000 mS	 340.3000000 uS/um
41	 0 V	 0 V	 2.0000 V	 0 V	 75.9358 mA	 -58.0831 nA	 7.593580000 mA/um	 -5.808310000 nA/um	 3.407000000 mS	 340.7000000 uS/um
42	 50.0 mV	 0 V	 2.0000 V	 0 V	 76.1063 mA	 -56.5405 nA	 7.610630000 mA/um	 -5.654050000 nA/um	 3.421000000 mS	 342.1000000 uS/um
43	 100.0 mV	 0 V	 2.0000 V	 0 V	 76.2779 mA	 -55.0405 nA	 7.627790000 mA/um	 -5.504050000 nA/um	 3.428000000 mS	 342.8000000 uS/um
44	 150.0 mV	 0 V	 2.0000 V	 0 V	 76.4491 mA	 -53.5487 nA	 7.644910000 mA/um	 -5.354870000 nA/um	 3.425000000 mS	 342.5000000 uS/um
45	 200.0 mV	 0 V	 2.0000 V	 0 V	 76.6204 mA	 -52.1050 nA	 7.662040000 mA/um	 -5.210500000 nA/um	 3.435000000 mS	 343.5000000 uS/um
46	 250.0 mV	 0 V	 2.0000 V	 0 V	 76.7926 mA	 -50.6774 nA	 7.679260000 mA/um	 -5.067740000 nA/um	 3.440000000 mS	 344.0000000 uS/um
47	 300.0 mV	 0 V	 2.0000 V	 0 V	 76.9644 mA	 -49.2453 nA	 7.696440000 mA/um	 -4.924530000 nA/um	 3.453000000 mS	 345.3000000 uS/um
48	 350.0 mV	 0 V	 2.0000 V	 0 V	 77.1379 mA	 -47.8410 nA	 7.713790000 mA/um	 -4.784100000 nA/um	 3.456000000 mS	 345.6000000 uS/um
49	 400.0 mV	 0 V	 2.0000 V	 0 V	 77.3100 mA	 -46.5131 nA	 7.731000000 mA/um	 -4.651310000 nA/um	 3.456000000 mS	 345.6000000 uS/um
50	 450.0 mV	 0 V	 2.0000 V	 0 V	 77.4835 mA	 -45.2335 nA	 7.748350000 mA/um	 -4.523350000 nA/um	 3.475000000 mS	 347.5000000 uS/um
51	 500.0 mV	 0 V	 2.0000 V	 0 V	 77.6575 mA	 -43.9725 nA	 7.765750000 mA/um	 -4.397250000 nA/um	 3.472000000 mS	 347.2000000 uS/um
52	 550.0 mV	 0 V	 2.0000 V	 0 V	 77.8307 mA	 -42.7313 nA	 7.783070000 mA/um	 -4.273130000 nA/um	 3.477000000 mS	 347.7000000 uS/um
53	 600.0 mV	 0 V	 2.0000 V	 0 V	 78.0052 mA	 -41.5317 nA	 7.800520000 mA/um	 -4.153170000 nA/um	 3.490000000 mS	 349.0000000 uS/um
54	 650.0 mV	 0 V	 2.0000 V	 0 V	 78.1797 mA	 -40.3739 nA	 7.817970000 mA/um	 -4.037390000 nA/um	 3.501000000 mS	 350.1000000 uS/um
55	 700.0 mV	 0 V	 2.0000 V	 0 V	 78.3553 mA	 -39.2576 nA	 7.835530000 mA/um	 -3.925760000 nA/um	 3.502000000 mS	 350.2000000 uS/um
56	 750.0 mV	 0 V	 2.0000 V	 0 V	 78.5299 mA	 -38.1553 nA	 7.852990000 mA/um	 -3.815530000 nA/um	 3.502000000 mS	 350.2000000 uS/um
57	 800.0 mV	 0 V	 2.0000 V	 0 V	 78.7055 mA	 -37.0708 nA	 7.870550000 mA/um	 -3.707080000 nA/um	 3.506000000 mS	 350.6000000 uS/um
58	 850.0 mV	 0 V	 2.0000 V	 0 V	 78.8805 mA	 -36.0299 nA	 7.888050000 mA/um	 -3.602990000 nA/um	 3.510000000 mS	 351.0000000 uS/um
59	 900.0 mV	 0 V	 2.0000 V	 0 V	 79.0565 mA	 -35.0494 nA	 7.905650000 mA/um	 -3.504940000 nA/um	 3.521000000 mS	 352.1000000 uS/um
60	 950.0 mV	 0 V	 2.0000 V	 0 V	 79.2326 mA	 -34.0990 nA	 7.923260000 mA/um	 -3.409900000 nA/um	 3.534000000 mS	 353.4000000 uS/um
