Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 7.36450 uA	 736.4500000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 170.590 uA	 17.05900000 uA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 325.640 uA	 32.56400000 uA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 481.560 uA	 48.15600000 uA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 664.170 uA	 66.41700000 uA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 815.120 uA	 81.51200000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 952.460 uA	 95.24600000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 1.123290 mA	 112.3290000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 1.27150 mA	 127.1500000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 1.46390 mA	 146.3900000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 1.61730 mA	 161.7300000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 1.74700 mA	 174.7000000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 1.87830 mA	 187.8300000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 2.09440 mA	 209.4400000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 2.23580 mA	 223.5800000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 2.34120 mA	 234.1200000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 2.48090 mA	 248.0900000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 2.70990 mA	 270.9900000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 2.83030 mA	 283.0300000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 2.92130 mA	 292.1300000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 3.07730 mA	 307.7300000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 3.31150 mA	 331.1500000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 3.39590 mA	 339.5900000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 3.49140 mA	 349.1400000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 3.74760 mA	 374.7600000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 3.86260 mA	 386.2600000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 3.91670 mA	 391.6700000 uA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 4.05920 mA	 405.9200000 uA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 4.31440 mA	 431.4400000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 4.44210 mA	 444.2100000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 4.50190 mA	 450.1900000 uA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 4.60560 mA	 460.5600000 uA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 4.87320 mA	 487.3200000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 4.98920 mA	 498.9200000 uA/um
