Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 18.3058 mA	 -1.23995 uA	 1.830580000 mA/um	 -123.9950000 nA/um	 1.108000000 mS	 110.8000000 uS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 18.3612 mA	 -1.24075 uA	 1.836120000 mA/um	 -124.0750000 nA/um	 1.119000000 mS	 111.9000000 uS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 18.4177 mA	 -1.24101 uA	 1.841770000 mA/um	 -124.1010000 nA/um	 1.151000000 mS	 115.1000000 uS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 18.4763 mA	 -1.24180 uA	 1.847630000 mA/um	 -124.1800000 nA/um	 1.171000000 mS	 117.1000000 uS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 18.5348 mA	 -1.24237 uA	 1.853480000 mA/um	 -124.2370000 nA/um	 1.200000000 mS	 120.0000000 uS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 18.5963 mA	 -1.24343 uA	 1.859630000 mA/um	 -124.3430000 nA/um	 1.220000000 mS	 122.0000000 uS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 18.6568 mA	 -1.24462 uA	 1.865680000 mA/um	 -124.4620000 nA/um	 1.227000000 mS	 122.7000000 uS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 18.7190 mA	 -1.24587 uA	 1.871900000 mA/um	 -124.5870000 nA/um	 1.265000000 mS	 126.5000000 uS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 18.7833 mA	 -1.24704 uA	 1.878330000 mA/um	 -124.7040000 nA/um	 1.298000000 mS	 129.8000000 uS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 18.8488 mA	 -1.24887 uA	 1.884880000 mA/um	 -124.8870000 nA/um	 1.329000000 mS	 132.9000000 uS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 18.9162 mA	 -1.25067 uA	 1.891620000 mA/um	 -125.0670000 nA/um	 1.352000000 mS	 135.2000000 uS/um
12	 -1.4500 V	 0 V	 2.0000 V	 0 V	 18.9840 mA	 -1.25287 uA	 1.898400000 mA/um	 -125.2870000 nA/um	 1.384000000 mS	 138.4000000 uS/um
13	 -1.4000 V	 0 V	 2.0000 V	 0 V	 19.0546 mA	 -1.25525 uA	 1.905460000 mA/um	 -125.5250000 nA/um	 1.411000000 mS	 141.1000000 uS/um
14	 -1.3500 V	 0 V	 2.0000 V	 0 V	 19.1251 mA	 -1.25803 uA	 1.912510000 mA/um	 -125.8030000 nA/um	 1.428000000 mS	 142.8000000 uS/um
15	 -1.3000 V	 0 V	 2.0000 V	 0 V	 19.1974 mA	 -1.26085 uA	 1.919740000 mA/um	 -126.0850000 nA/um	 1.464000000 mS	 146.4000000 uS/um
16	 -1.2500 V	 0 V	 2.0000 V	 0 V	 19.2715 mA	 -1.26376 uA	 1.927150000 mA/um	 -126.3760000 nA/um	 1.501000000 mS	 150.1000000 uS/um
17	 -1.2000 V	 0 V	 2.0000 V	 0 V	 19.3475 mA	 -1.26733 uA	 1.934750000 mA/um	 -126.7330000 nA/um	 1.532000000 mS	 153.2000000 uS/um
18	 -1.1500 V	 0 V	 2.0000 V	 0 V	 19.4247 mA	 -1.27076 uA	 1.942470000 mA/um	 -127.0760000 nA/um	 1.557000000 mS	 155.7000000 uS/um
19	 -1.1000 V	 0 V	 2.0000 V	 0 V	 19.5032 mA	 -1.27461 uA	 1.950320000 mA/um	 -127.4610000 nA/um	 1.593000000 mS	 159.3000000 uS/um
20	 -1.0500 V	 0 V	 2.0000 V	 0 V	 19.5840 mA	 -1.27865 uA	 1.958400000 mA/um	 -127.8650000 nA/um	 1.630000000 mS	 163.0000000 uS/um
21	 -1.0000 V	 0 V	 2.0000 V	 0 V	 19.6662 mA	 -1.28320 uA	 1.966620000 mA/um	 -128.3200000 nA/um	 1.663000000 mS	 166.3000000 uS/um
22	 -950.0 mV	 0 V	 2.0000 V	 0 V	 19.7503 mA	 -1.28824 uA	 1.975030000 mA/um	 -128.8240000 nA/um	 1.706000000 mS	 170.6000000 uS/um
23	 -900.0 mV	 0 V	 2.0000 V	 0 V	 19.8368 mA	 -1.29341 uA	 1.983680000 mA/um	 -129.3410000 nA/um	 1.743000000 mS	 174.3000000 uS/um
24	 -850.0 mV	 0 V	 2.0000 V	 0 V	 19.9246 mA	 -1.29907 uA	 1.992460000 mA/um	 -129.9070000 nA/um	 1.792000000 mS	 179.2000000 uS/um
25	 -800.0 mV	 0 V	 2.0000 V	 0 V	 20.0160 mA	 -1.30543 uA	 2.001600000 mA/um	 -130.5430000 nA/um	 1.842000000 mS	 184.2000000 uS/um
26	 -750.0 mV	 0 V	 2.0000 V	 0 V	 20.1088 mA	 -1.31223 uA	 2.010880000 mA/um	 -131.2230000 nA/um	 1.889000000 mS	 188.9000000 uS/um
27	 -700.0 mV	 0 V	 2.0000 V	 0 V	 20.2049 mA	 -1.31970 uA	 2.020490000 mA/um	 -131.9700000 nA/um	 1.950000000 mS	 195.0000000 uS/um
28	 -650.0 mV	 0 V	 2.0000 V	 0 V	 20.3038 mA	 -1.32763 uA	 2.030380000 mA/um	 -132.7630000 nA/um	 2.006000000 mS	 200.6000000 uS/um
29	 -600.0 mV	 0 V	 2.0000 V	 0 V	 20.4055 mA	 -1.33646 uA	 2.040550000 mA/um	 -133.6460000 nA/um	 2.066000000 mS	 206.6000000 uS/um
30	 -550.0 mV	 0 V	 2.0000 V	 0 V	 20.5104 mA	 -1.34625 uA	 2.051040000 mA/um	 -134.6250000 nA/um	 2.138000000 mS	 213.8000000 uS/um
31	 -500.0 mV	 0 V	 2.0000 V	 0 V	 20.6193 mA	 -1.35660 uA	 2.061930000 mA/um	 -135.6600000 nA/um	 2.210000000 mS	 221.0000000 uS/um
32	 -450.0 mV	 0 V	 2.0000 V	 0 V	 20.7314 mA	 -1.36783 uA	 2.073140000 mA/um	 -136.7830000 nA/um	 2.291000000 mS	 229.1000000 uS/um
33	 -400.0 mV	 0 V	 2.0000 V	 0 V	 20.8484 mA	 -1.38001 uA	 2.084840000 mA/um	 -138.0010000 nA/um	 2.377000000 mS	 237.7000000 uS/um
34	 -350.0 mV	 0 V	 2.0000 V	 0 V	 20.9691 mA	 -1.39325 uA	 2.096910000 mA/um	 -139.3250000 nA/um	 2.459000000 mS	 245.9000000 uS/um
35	 -300.0 mV	 0 V	 2.0000 V	 0 V	 21.0943 mA	 -1.40785 uA	 2.109430000 mA/um	 -140.7850000 nA/um	 2.574000000 mS	 257.4000000 uS/um
36	 -250.0 mV	 0 V	 2.0000 V	 0 V	 21.2265 mA	 -1.42304 uA	 2.122650000 mA/um	 -142.3040000 nA/um	 2.668000000 mS	 266.8000000 uS/um
37	 -200.0 mV	 0 V	 2.0000 V	 0 V	 21.3611 mA	 -1.43971 uA	 2.136110000 mA/um	 -143.9710000 nA/um	 2.766000000 mS	 276.6000000 uS/um
38	 -150.0 mV	 0 V	 2.0000 V	 0 V	 21.5031 mA	 -1.45680 uA	 2.150310000 mA/um	 -145.6800000 nA/um	 2.897000000 mS	 289.7000000 uS/um
39	 -100.0 mV	 0 V	 2.0000 V	 0 V	 21.6508 mA	 -1.47519 uA	 2.165080000 mA/um	 -147.5190000 nA/um	 3.014000000 mS	 301.4000000 uS/um
40	 -50.0 mV	 0 V	 2.0000 V	 0 V	 21.8045 mA	 -1.49388 uA	 2.180450000 mA/um	 -149.3880000 nA/um	 3.157000000 mS	 315.7000000 uS/um
41	 0 V	 0 V	 2.0000 V	 0 V	 21.9665 mA	 -1.51274 uA	 2.196650000 mA/um	 -151.2740000 nA/um	 3.293000000 mS	 329.3000000 uS/um
42	 50.0 mV	 0 V	 2.0000 V	 0 V	 22.1338 mA	 -1.53191 uA	 2.213380000 mA/um	 -153.1910000 nA/um	 3.416000000 mS	 341.6000000 uS/um
43	 100.0 mV	 0 V	 2.0000 V	 0 V	 22.3081 mA	 -1.55089 uA	 2.230810000 mA/um	 -155.0890000 nA/um	 3.561000000 mS	 356.1000000 uS/um
44	 150.0 mV	 0 V	 2.0000 V	 0 V	 22.4899 mA	 -1.56939 uA	 2.248990000 mA/um	 -156.9390000 nA/um	 3.711000000 mS	 371.1000000 uS/um
45	 200.0 mV	 0 V	 2.0000 V	 0 V	 22.6792 mA	 -1.58660 uA	 2.267920000 mA/um	 -158.6600000 nA/um	 3.882000000 mS	 388.2000000 uS/um
46	 250.0 mV	 0 V	 2.0000 V	 0 V	 22.8781 mA	 -1.60370 uA	 2.287810000 mA/um	 -160.3700000 nA/um	 4.050000000 mS	 405.0000000 uS/um
47	 300.0 mV	 0 V	 2.0000 V	 0 V	 23.0842 mA	 -1.61911 uA	 2.308420000 mA/um	 -161.9110000 nA/um	 4.205000000 mS	 420.5000000 uS/um
48	 350.0 mV	 0 V	 2.0000 V	 0 V	 23.2986 mA	 -1.63320 uA	 2.329860000 mA/um	 -163.3200000 nA/um	 4.370000000 mS	 437.0000000 uS/um
49	 400.0 mV	 0 V	 2.0000 V	 0 V	 23.5212 mA	 -1.64568 uA	 2.352120000 mA/um	 -164.5680000 nA/um	 4.547000000 mS	 454.7000000 uS/um
50	 450.0 mV	 0 V	 2.0000 V	 0 V	 23.7533 mA	 -1.65614 uA	 2.375330000 mA/um	 -165.6140000 nA/um	 4.718000000 mS	 471.8000000 uS/um
51	 500.0 mV	 0 V	 2.0000 V	 0 V	 23.9930 mA	 -1.66443 uA	 2.399300000 mA/um	 -166.4430000 nA/um	 4.891000000 mS	 489.1000000 uS/um
52	 550.0 mV	 0 V	 2.0000 V	 0 V	 24.2424 mA	 -1.67004 uA	 2.424240000 mA/um	 -167.0040000 nA/um	 5.073000000 mS	 507.3000000 uS/um
53	 600.0 mV	 0 V	 2.0000 V	 0 V	 24.5003 mA	 -1.67293 uA	 2.450030000 mA/um	 -167.2930000 nA/um	 5.282000000 mS	 528.2000000 uS/um
54	 650.0 mV	 0 V	 2.0000 V	 0 V	 24.7706 mA	 -1.67321 uA	 2.477060000 mA/um	 -167.3210000 nA/um	 5.480000000 mS	 548.0000000 uS/um
55	 700.0 mV	 0 V	 2.0000 V	 0 V	 25.0483 mA	 -1.67059 uA	 2.504830000 mA/um	 -167.0590000 nA/um	 5.638000000 mS	 563.8000000 uS/um
56	 750.0 mV	 0 V	 2.0000 V	 0 V	 25.3344 mA	 -1.66440 uA	 2.533440000 mA/um	 -166.4400000 nA/um	 5.827000000 mS	 582.7000000 uS/um
57	 800.0 mV	 0 V	 2.0000 V	 0 V	 25.6310 mA	 -1.65459 uA	 2.563100000 mA/um	 -165.4590000 nA/um	 6.024000000 mS	 602.4000000 uS/um
58	 850.0 mV	 0 V	 2.0000 V	 0 V	 25.9368 mA	 -1.64095 uA	 2.593680000 mA/um	 -164.0950000 nA/um	 6.199000000 mS	 619.9000000 uS/um
59	 900.0 mV	 0 V	 2.0000 V	 0 V	 26.2509 mA	 -1.62432 uA	 2.625090000 mA/um	 -162.4320000 nA/um	 6.361000000 mS	 636.1000000 uS/um
60	 950.0 mV	 0 V	 2.0000 V	 0 V	 26.5729 mA	 -1.60415 uA	 2.657290000 mA/um	 -160.4150000 nA/um	 6.511000000 mS	 651.1000000 uS/um
61	 1.0000 V	 0 V	 2.0000 V	 0 V	 26.9020 mA	 -1.58068 uA	 2.690200000 mA/um	 -158.0680000 nA/um	 6.651000000 mS	 665.1000000 uS/um
62	 1.0500 V	 0 V	 2.0000 V	 0 V	 27.2380 mA	 -1.55388 uA	 2.723800000 mA/um	 -155.3880000 nA/um	 6.768000000 mS	 676.8000000 uS/um
63	 1.1000 V	 0 V	 2.0000 V	 0 V	 27.5788 mA	 -1.52426 uA	 2.757880000 mA/um	 -152.4260000 nA/um	 6.895000000 mS	 689.5000000 uS/um
