Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 88.3198 uA	 -3.108 pA	 8.831980000 uA/um	 -310.8000000 fA/um	 9.646000000 uS	 964.6000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 88.8021 uA	 -3.492 pA	 8.880210000 uA/um	 -349.2000000 fA/um	 9.706000000 uS	 970.6000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 89.2904 uA	 -3.636 pA	 8.929040000 uA/um	 -363.6000000 fA/um	 10.12100000 uS	 1.012100000 uS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 89.8142 uA	 -3.511 pA	 8.981420000 uA/um	 -351.1000000 fA/um	 10.35200000 uS	 1.035200000 uS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 90.3256 uA	 -3.502 pA	 9.032560000 uA/um	 -350.2000000 fA/um	 10.57800000 uS	 1.057800000 uS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 90.8720 uA	 -3.652 pA	 9.087200000 uA/um	 -365.2000000 fA/um	 11.06300000 uS	 1.106300000 uS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 91.4319 uA	 -3.545 pA	 9.143190000 uA/um	 -354.5000000 fA/um	 10.87300000 uS	 1.087300000 uS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 91.9593 uA	 -3.527 pA	 9.195930000 uA/um	 -352.7000000 fA/um	 11.21700000 uS	 1.121700000 uS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 92.5536 uA	 -3.350 pA	 9.255360000 uA/um	 -335.0000000 fA/um	 11.91000000 uS	 1.191000000 uS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 93.1503 uA	 -3.466 pA	 9.315030000 uA/um	 -346.6000000 fA/um	 11.72300000 uS	 1.172300000 uS/um
