Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 78.3264 uA	 -8.000 pA	 7.832640000 uA/um	 -800.0000000 fA/um	 7.060000000 uS	 706.0000000 nS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 78.6794 uA	 -8.451 pA	 7.867940000 uA/um	 -845.1000000 fA/um	 7.064000000 uS	 706.4000000 nS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 79.0328 uA	 -8.364 pA	 7.903280000 uA/um	 -836.4000000 fA/um	 6.895000000 uS	 689.5000000 nS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 79.3689 uA	 -8.229 pA	 7.936890000 uA/um	 -822.9000000 fA/um	 6.781000000 uS	 678.1000000 nS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 79.7109 uA	 -9.156 pA	 7.971090000 uA/um	 -915.6000000 fA/um	 6.749000000 uS	 674.9000000 nS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 80.0438 uA	 -9.308 pA	 8.004380000 uA/um	 -930.8000000 fA/um	 7.048000000 uS	 704.8000000 nS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 80.4157 uA	 -9.387 pA	 8.041570000 uA/um	 -938.7000000 fA/um	 7.203000000 uS	 720.3000000 nS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 80.7641 uA	 -8.933 pA	 8.076410000 uA/um	 -893.3000000 fA/um	 7.301000000 uS	 730.1000000 nS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 81.1458 uA	 -8.330 pA	 8.114580000 uA/um	 -833.0000000 fA/um	 7.355000000 uS	 735.5000000 nS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 81.4996 uA	 -8.250 pA	 8.149960000 uA/um	 -825.0000000 fA/um	 7.602000000 uS	 760.2000000 nS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 81.9060 uA	 -8.971 pA	 8.190600000 uA/um	 -897.1000000 fA/um	 8.037000000 uS	 803.7000000 nS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 82.3033 uA	 -8.429 pA	 8.230330000 uA/um	 -842.9000000 fA/um	 8.010000000 uS	 801.0000000 nS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 82.7070 uA	 -8.496 pA	 8.270700000 uA/um	 -849.6000000 fA/um	 7.944000000 uS	 794.4000000 nS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 83.0977 uA	 -8.835 pA	 8.309770000 uA/um	 -883.5000000 fA/um	 8.123000000 uS	 812.3000000 nS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 83.5193 uA	 -8.437 pA	 8.351930000 uA/um	 -843.7000000 fA/um	 8.375000000 uS	 837.5000000 nS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 83.9352 uA	 -8.644 pA	 8.393520000 uA/um	 -864.4000000 fA/um	 8.568000000 uS	 856.8000000 nS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 84.3761 uA	 -8.766 pA	 8.437610000 uA/um	 -876.6000000 fA/um	 8.809000000 uS	 880.9000000 nS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 84.8161 uA	 -8.567 pA	 8.481610000 uA/um	 -856.7000000 fA/um	 9.058000000 uS	 905.8000000 nS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 85.2819 uA	 -8.436 pA	 8.528190000 uA/um	 -843.6000000 fA/um	 9.466000000 uS	 946.6000000 nS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 85.7627 uA	 -8.808 pA	 8.576270000 uA/um	 -880.8000000 fA/um	 9.406000000 uS	 940.6000000 nS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 86.2225 uA	 -8.606 pA	 8.622250000 uA/um	 -860.6000000 fA/um	 9.355000000 uS	 935.5000000 nS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 86.6982 uA	 -8.759 pA	 8.669820000 uA/um	 -875.9000000 fA/um	 10.13000000 uS	 1.013000000 uS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 87.2355 uA	 -8.723 pA	 8.723550000 uA/um	 -872.3000000 fA/um	 10.37800000 uS	 1.037800000 uS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 87.7360 uA	 -7.852 pA	 8.773600000 uA/um	 -785.2000000 fA/um	 10.51500000 uS	 1.051500000 uS/um
