Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 0 V	 0 V	 0 V	 0 V	 -112.940 pA	 -11.29400000 pA/um
2	 0 V	 0 V	 5.0 mV	 0 V	 38.030 pA	 3.803000000 pA/um
3	 0 V	 0 V	 10.0 mV	 0 V	 138.170 pA	 13.81700000 pA/um
4	 0 V	 0 V	 15.0 mV	 0 V	 -78.950 pA	 -7.895000000 pA/um
5	 0 V	 0 V	 20.0 mV	 0 V	 -2.660 pA	 -266.0000000 fA/um
6	 0 V	 0 V	 25.0 mV	 0 V	 102.670 pA	 10.26700000 pA/um
7	 0 V	 0 V	 30.0 mV	 0 V	 31.680 pA	 3.168000000 pA/um
8	 0 V	 0 V	 35.0 mV	 0 V	 -90.320 pA	 -9.032000000 pA/um
9	 0 V	 0 V	 40.0 mV	 0 V	 73.860 pA	 7.386000000 pA/um
10	 0 V	 0 V	 45.0 mV	 0 V	 77.250 pA	 7.725000000 pA/um
11	 0 V	 0 V	 50.0 mV	 0 V	 -56.730 pA	 -5.673000000 pA/um
12	 0 V	 0 V	 55.0 mV	 0 V	 18.260 pA	 1.826000000 pA/um
13	 0 V	 0 V	 60.0 mV	 0 V	 126.190 pA	 12.61900000 pA/um
14	 0 V	 0 V	 65.0 mV	 0 V	 23.270 pA	 2.327000000 pA/um
15	 0 V	 0 V	 70.0 mV	 0 V	 -24.680 pA	 -2.468000000 pA/um
16	 0 V	 0 V	 75.0 mV	 0 V	 144.610 pA	 14.46100000 pA/um
17	 0 V	 0 V	 80.0 mV	 0 V	 75.600 pA	 7.560000000 pA/um
18	 0 V	 0 V	 85.0 mV	 0 V	 -22.970 pA	 -2.297000000 pA/um
19	 0 V	 0 V	 90.0 mV	 0 V	 78.840 pA	 7.884000000 pA/um
20	 0 V	 0 V	 95.0 mV	 0 V	 169.700 pA	 16.97000000 pA/um
21	 0 V	 0 V	 100.0 mV	 0 V	 19.250 pA	 1.925000000 pA/um
