Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 2.0000 V	 0 V	 21.3972 nA	 -15.0550 nA	 2.139720000 nA/um	 -1.505500000 nA/um	 48.00000000 pS	 4.800000000 pS/um
2	 -1.9500 V	 0 V	 2.0000 V	 0 V	 21.3996 nA	 -15.0334 nA	 2.139960000 nA/um	 -1.503340000 nA/um	 14.00000000 pS	 1.400000000 pS/um
3	 -1.9000 V	 0 V	 2.0000 V	 0 V	 21.3986 nA	 -15.0517 nA	 2.139860000 nA/um	 -1.505170000 nA/um	 -141.0000000 pS	 -14.10000000 pS/um
4	 -1.8500 V	 0 V	 2.0000 V	 0 V	 21.3855 nA	 -15.0681 nA	 2.138550000 nA/um	 -1.506810000 nA/um	 48.00000000 pS	 4.800000000 pS/um
5	 -1.8000 V	 0 V	 2.0000 V	 0 V	 21.4034 nA	 -15.0703 nA	 2.140340000 nA/um	 -1.507030000 nA/um	 -20.00000000 pS	 -2.000000000 pS/um
6	 -1.7500 V	 0 V	 2.0000 V	 0 V	 21.3835 nA	 -15.0574 nA	 2.138350000 nA/um	 -1.505740000 nA/um	 -170.0000000 pS	 -17.00000000 pS/um
7	 -1.7000 V	 0 V	 2.0000 V	 0 V	 21.3864 nA	 -15.0541 nA	 2.138640000 nA/um	 -1.505410000 nA/um	 170.0000000 pS	 17.00000000 pS/um
8	 -1.6500 V	 0 V	 2.0000 V	 0 V	 21.4005 nA	 -15.0524 nA	 2.140050000 nA/um	 -1.505240000 nA/um	 238.0000000 pS	 23.80000000 pS/um
9	 -1.6000 V	 0 V	 2.0000 V	 0 V	 21.4102 nA	 -15.0602 nA	 2.141020000 nA/um	 -1.506020000 nA/um	 41.00000000 pS	 4.100000000 pS/um
10	 -1.5500 V	 0 V	 2.0000 V	 0 V	 21.4046 nA	 -15.0686 nA	 2.140460000 nA/um	 -1.506860000 nA/um	 -104.0000000 pS	 -10.40000000 pS/um
11	 -1.5000 V	 0 V	 2.0000 V	 0 V	 21.3998 nA	 -15.0638 nA	 2.139980000 nA/um	 -1.506380000 nA/um	 -39.00000000 pS	 -3.900000000 pS/um
