Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 17.7990 nA	 1.779900000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 398.040 nA	 39.80400000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 889.600 nA	 88.96000000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 1.094370 uA	 109.4370000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 1.75810 uA	 175.8100000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 1.98110 uA	 198.1100000 nA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 2.05880 uA	 205.8800000 nA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 2.95080 uA	 295.0800000 nA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 3.25720 uA	 325.7200000 nA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 2.96920 uA	 296.9200000 nA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 3.75710 uA	 375.7100000 nA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 4.62270 uA	 462.2700000 nA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 3.99730 uA	 399.7300000 nA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 4.47350 uA	 447.3500000 nA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 5.66370 uA	 566.3700000 nA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 5.78280 uA	 578.2800000 nA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 5.11580 uA	 511.5800000 nA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 5.60980 uA	 560.9800000 nA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 7.12250 uA	 712.2500000 nA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 6.70640 uA	 670.6400000 nA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 5.98800 uA	 598.8000000 nA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 7.03620 uA	 703.6200000 nA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 8.40320 uA	 840.3200000 nA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 6.73290 uA	 673.2900000 nA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 7.95260 uA	 795.2600000 nA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 9.55860 uA	 955.8600000 nA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 7.61770 uA	 761.7700000 nA/um
28	 2.0000 V	 0 V	 135.0 mV	 0 V	 7.62950 uA	 762.9500000 nA/um
29	 2.0000 V	 0 V	 140.0 mV	 0 V	 10.28240 uA	 1.028240000 uA/um
30	 2.0000 V	 0 V	 145.0 mV	 0 V	 10.52900 uA	 1.052900000 uA/um
31	 2.0000 V	 0 V	 150.0 mV	 0 V	 8.38020 uA	 838.0200000 nA/um
32	 2.0000 V	 0 V	 155.0 mV	 0 V	 8.38360 uA	 838.3600000 nA/um
33	 2.0000 V	 0 V	 160.0 mV	 0 V	 11.21100 uA	 1.121100000 uA/um
34	 2.0000 V	 0 V	 165.0 mV	 0 V	 11.0550 uA	 1.105500000 uA/um
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 11.9080 uA	 1.190800000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 10.37490 uA	 1.037490000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 10.1670 uA	 1.016700000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 13.0430 uA	 1.304300000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 9.6550 uA	 965.5000000 nA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 10.0930 uA	 1.009300000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 13.8470 uA	 1.384700000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 11.5620 uA	 1.156200000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 9.7380 uA	 973.8000000 nA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 13.9880 uA	 1.398800000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 13.1240 uA	 1.312400000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 10.1170 uA	 1.011700000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 10.8910 uA	 1.089100000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 15.0190 uA	 1.501900000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 13.2990 uA	 1.329900000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 10.2600 uA	 1.026000000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 11.7820 uA	 1.178200000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 15.5080 uA	 1.550800000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 14.3050 uA	 1.430500000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 10.8300 uA	 1.083000000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 12.4200 uA	 1.242000000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 16.3270 uA	 1.632700000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 14.4940 uA	 1.449400000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 11.0590 uA	 1.105900000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 13.5630 uA	 1.356300000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 16.9870 uA	 1.698700000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 14.1360 uA	 1.413600000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 12.0020 uA	 1.200200000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 16.9520 uA	 1.695200000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 14.3250 uA	 1.432500000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 11.1800 uA	 1.118000000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 16.6840 uA	 1.668400000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 16.1460 uA	 1.614600000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 11.5610 uA	 1.156100000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 13.5420 uA	 1.354200000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 17.9580 uA	 1.795800000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 14.8300 uA	 1.483000000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 11.4240 uA	 1.142400000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 17.2150 uA	 1.721500000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 16.8490 uA	 1.684900000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 11.8200 uA	 1.182000000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 12.9090 uA	 1.290900000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 17.9550 uA	 1.795500000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 16.8660 uA	 1.686600000 uA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 12.1100 uA	 1.211000000 uA/um
80	 2.0000 V	 0 V	 395.0 mV	 0 V	 12.3000 uA	 1.230000000 uA/um
81	 2.0000 V	 0 V	 400.0 mV	 0 V	 17.8610 uA	 1.786100000 uA/um
82	 2.0000 V	 0 V	 405.0 mV	 0 V	 17.5950 uA	 1.759500000 uA/um
83	 2.0000 V	 0 V	 410.0 mV	 0 V	 12.0490 uA	 1.204900000 uA/um
84	 2.0000 V	 0 V	 415.0 mV	 0 V	 13.4380 uA	 1.343800000 uA/um
85	 2.0000 V	 0 V	 420.0 mV	 0 V	 18.3710 uA	 1.837100000 uA/um
86	 2.0000 V	 0 V	 425.0 mV	 0 V	 15.3100 uA	 1.531000000 uA/um
87	 2.0000 V	 0 V	 430.0 mV	 0 V	 12.3320 uA	 1.233200000 uA/um
88	 2.0000 V	 0 V	 435.0 mV	 0 V	 18.5720 uA	 1.857200000 uA/um
89	 2.0000 V	 0 V	 440.0 mV	 0 V	 16.2860 uA	 1.628600000 uA/um
90	 2.0000 V	 0 V	 445.0 mV	 0 V	 11.7290 uA	 1.172900000 uA/um
91	 2.0000 V	 0 V	 450.0 mV	 0 V	 14.5270 uA	 1.452700000 uA/um
92	 2.0000 V	 0 V	 455.0 mV	 0 V	 18.8520 uA	 1.885200000 uA/um
93	 2.0000 V	 0 V	 460.0 mV	 0 V	 15.0380 uA	 1.503800000 uA/um
94	 2.0000 V	 0 V	 465.0 mV	 0 V	 11.9800 uA	 1.198000000 uA/um
95	 2.0000 V	 0 V	 470.0 mV	 0 V	 15.2020 uA	 1.520200000 uA/um
96	 2.0000 V	 0 V	 475.0 mV	 0 V	 19.1010 uA	 1.910100000 uA/um
97	 2.0000 V	 0 V	 480.0 mV	 0 V	 15.3420 uA	 1.534200000 uA/um
98	 2.0000 V	 0 V	 485.0 mV	 0 V	 11.9780 uA	 1.197800000 uA/um
99	 2.0000 V	 0 V	 490.0 mV	 0 V	 15.0530 uA	 1.505300000 uA/um
100	 2.0000 V	 0 V	 495.0 mV	 0 V	 19.0440 uA	 1.904400000 uA/um
101	 2.0000 V	 0 V	 500.0 mV	 0 V	 12.7930 uA	 1.279300000 uA/um
102	 2.0000 V	 0 V	 505.0 mV	 0 V	 13.9710 uA	 1.397100000 uA/um
103	 2.0000 V	 0 V	 510.0 mV	 0 V	 19.2290 uA	 1.922900000 uA/um
104	 2.0000 V	 0 V	 515.0 mV	 0 V	 16.5720 uA	 1.657200000 uA/um
105	 2.0000 V	 0 V	 520.0 mV	 0 V	 12.2280 uA	 1.222800000 uA/um
106	 2.0000 V	 0 V	 525.0 mV	 0 V	 17.5070 uA	 1.750700000 uA/um
107	 2.0000 V	 0 V	 530.0 mV	 0 V	 18.8280 uA	 1.882800000 uA/um
108	 2.0000 V	 0 V	 535.0 mV	 0 V	 13.1650 uA	 1.316500000 uA/um
109	 2.0000 V	 0 V	 540.0 mV	 0 V	 12.6850 uA	 1.268500000 uA/um
110	 2.0000 V	 0 V	 545.0 mV	 0 V	 19.4840 uA	 1.948400000 uA/um
111	 2.0000 V	 0 V	 550.0 mV	 0 V	 16.9190 uA	 1.691900000 uA/um
112	 2.0000 V	 0 V	 555.0 mV	 0 V	 12.8420 uA	 1.284200000 uA/um
113	 2.0000 V	 0 V	 560.0 mV	 0 V	 16.5720 uA	 1.657200000 uA/um
114	 2.0000 V	 0 V	 565.0 mV	 0 V	 19.6710 uA	 1.967100000 uA/um
115	 2.0000 V	 0 V	 570.0 mV	 0 V	 15.7850 uA	 1.578500000 uA/um
116	 2.0000 V	 0 V	 575.0 mV	 0 V	 12.6270 uA	 1.262700000 uA/um
117	 2.0000 V	 0 V	 580.0 mV	 0 V	 16.2040 uA	 1.620400000 uA/um
118	 2.0000 V	 0 V	 585.0 mV	 0 V	 20.1710 uA	 2.017100000 uA/um
119	 2.0000 V	 0 V	 590.0 mV	 0 V	 16.4300 uA	 1.643000000 uA/um
120	 2.0000 V	 0 V	 595.0 mV	 0 V	 12.8930 uA	 1.289300000 uA/um
121	 2.0000 V	 0 V	 600.0 mV	 0 V	 19.7390 uA	 1.973900000 uA/um
122	 2.0000 V	 0 V	 605.0 mV	 0 V	 19.0550 uA	 1.905500000 uA/um
123	 2.0000 V	 0 V	 610.0 mV	 0 V	 13.1100 uA	 1.311000000 uA/um
124	 2.0000 V	 0 V	 615.0 mV	 0 V	 15.6970 uA	 1.569700000 uA/um
125	 2.0000 V	 0 V	 620.0 mV	 0 V	 20.0730 uA	 2.007300000 uA/um
126	 2.0000 V	 0 V	 625.0 mV	 0 V	 14.5450 uA	 1.454500000 uA/um
127	 2.0000 V	 0 V	 630.0 mV	 0 V	 15.6780 uA	 1.567800000 uA/um
128	 2.0000 V	 0 V	 635.0 mV	 0 V	 20.4140 uA	 2.041400000 uA/um
129	 2.0000 V	 0 V	 640.0 mV	 0 V	 16.4920 uA	 1.649200000 uA/um
130	 2.0000 V	 0 V	 645.0 mV	 0 V	 13.8380 uA	 1.383800000 uA/um
