Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 2.0000 V	 0 V	 0 V	 0 V	 100.480 nA	 10.04800000 nA/um
2	 2.0000 V	 0 V	 5.0 mV	 0 V	 1.99860 uA	 199.8600000 nA/um
3	 2.0000 V	 0 V	 10.0 mV	 0 V	 4.49900 uA	 449.9000000 nA/um
4	 2.0000 V	 0 V	 15.0 mV	 0 V	 6.50980 uA	 650.9800000 nA/um
5	 2.0000 V	 0 V	 20.0 mV	 0 V	 7.62270 uA	 762.2700000 nA/um
6	 2.0000 V	 0 V	 25.0 mV	 0 V	 10.57030 uA	 1.057030000 uA/um
7	 2.0000 V	 0 V	 30.0 mV	 0 V	 11.6960 uA	 1.169600000 uA/um
8	 2.0000 V	 0 V	 35.0 mV	 0 V	 15.3990 uA	 1.539900000 uA/um
9	 2.0000 V	 0 V	 40.0 mV	 0 V	 15.4880 uA	 1.548800000 uA/um
10	 2.0000 V	 0 V	 45.0 mV	 0 V	 16.8860 uA	 1.688600000 uA/um
11	 2.0000 V	 0 V	 50.0 mV	 0 V	 21.1350 uA	 2.113500000 uA/um
12	 2.0000 V	 0 V	 55.0 mV	 0 V	 22.6840 uA	 2.268400000 uA/um
13	 2.0000 V	 0 V	 60.0 mV	 0 V	 22.1420 uA	 2.214200000 uA/um
14	 2.0000 V	 0 V	 65.0 mV	 0 V	 24.3990 uA	 2.439900000 uA/um
15	 2.0000 V	 0 V	 70.0 mV	 0 V	 29.2550 uA	 2.925500000 uA/um
16	 2.0000 V	 0 V	 75.0 mV	 0 V	 29.9630 uA	 2.996300000 uA/um
17	 2.0000 V	 0 V	 80.0 mV	 0 V	 28.5450 uA	 2.854500000 uA/um
18	 2.0000 V	 0 V	 85.0 mV	 0 V	 31.3150 uA	 3.131500000 uA/um
19	 2.0000 V	 0 V	 90.0 mV	 0 V	 36.8390 uA	 3.683900000 uA/um
20	 2.0000 V	 0 V	 95.0 mV	 0 V	 34.0140 uA	 3.401400000 uA/um
21	 2.0000 V	 0 V	 100.0 mV	 0 V	 35.3640 uA	 3.536400000 uA/um
22	 2.0000 V	 0 V	 105.0 mV	 0 V	 42.1420 uA	 4.214200000 uA/um
23	 2.0000 V	 0 V	 110.0 mV	 0 V	 41.3670 uA	 4.136700000 uA/um
24	 2.0000 V	 0 V	 115.0 mV	 0 V	 38.5550 uA	 3.855500000 uA/um
25	 2.0000 V	 0 V	 120.0 mV	 0 V	 46.2280 uA	 4.622800000 uA/um
26	 2.0000 V	 0 V	 125.0 mV	 0 V	 48.5070 uA	 4.850700000 uA/um
27	 2.0000 V	 0 V	 130.0 mV	 0 V	 44.0870 uA	 4.408700000 uA/um
