Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -5.0000 V	 0 V	 5.0000 V	 0 V	 10.6081 uA	 -2.988 pA	 106.0810000 nA/um	 -29.88000000 fA/um	 -222.0000000 nS	 -2.220000000 nS/um
2	 -4.9500 V	 0 V	 5.0000 V	 0 V	 10.5970 uA	 -2.884 pA	 105.9700000 nA/um	 -28.84000000 fA/um	 -321.0000000 nS	 -3.210000000 nS/um
3	 -4.9000 V	 0 V	 5.0000 V	 0 V	 10.5760 uA	 -2.927 pA	 105.7600000 nA/um	 -29.27000000 fA/um	 -106.0000000 nS	 -1.060000000 nS/um
4	 -4.8500 V	 0 V	 5.0000 V	 0 V	 10.5864 uA	 -2.914 pA	 105.8640000 nA/um	 -29.14000000 fA/um	 46.00000000 nS	 460.0000000 pS/um
5	 -4.8000 V	 0 V	 5.0000 V	 0 V	 10.5806 uA	 -2.735 pA	 105.8060000 nA/um	 -27.35000000 fA/um	 12.00000000 nS	 120.0000000 pS/um
6	 -4.7500 V	 0 V	 5.0000 V	 0 V	 10.5876 uA	 -2.938 pA	 105.8760000 nA/um	 -29.38000000 fA/um	 51.00000000 nS	 510.0000000 pS/um
7	 -4.7000 V	 0 V	 5.0000 V	 0 V	 10.5857 uA	 -2.759 pA	 105.8570000 nA/um	 -27.59000000 fA/um	 -130.0000000 nS	 -1.300000000 nS/um
8	 -4.6500 V	 0 V	 5.0000 V	 0 V	 10.5746 uA	 -2.663 pA	 105.7460000 nA/um	 -26.63000000 fA/um	 -112.0000000 nS	 -1.120000000 nS/um
9	 -4.6000 V	 0 V	 5.0000 V	 0 V	 10.5745 uA	 -2.677 pA	 105.7450000 nA/um	 -26.77000000 fA/um	 -97.00000000 nS	 -970.0000000 pS/um
10	 -4.5500 V	 0 V	 5.0000 V	 0 V	 10.5649 uA	 -2.694 pA	 105.6490000 nA/um	 -26.94000000 fA/um	 -167.0000000 nS	 -1.670000000 nS/um
11	 -4.5000 V	 0 V	 5.0000 V	 0 V	 10.5578 uA	 -2.776 pA	 105.5780000 nA/um	 -27.76000000 fA/um	 -64.00000000 nS	 -640.0000000 pS/um
12	 -4.4500 V	 0 V	 5.0000 V	 0 V	 10.5585 uA	 -2.656 pA	 105.5850000 nA/um	 -26.56000000 fA/um	 120.0000000 nS	 1.200000000 nS/um
13	 -4.4000 V	 0 V	 5.0000 V	 0 V	 10.5698 uA	 -2.700 pA	 105.6980000 nA/um	 -27.00000000 fA/um	 195.0000000 nS	 1.950000000 nS/um
14	 -4.3500 V	 0 V	 5.0000 V	 0 V	 10.5780 uA	 -2.694 pA	 105.7800000 nA/um	 -26.94000000 fA/um	 -46.00000000 nS	 -460.0000000 pS/um
15	 -4.3000 V	 0 V	 5.0000 V	 0 V	 10.5652 uA	 -2.651 pA	 105.6520000 nA/um	 -26.51000000 fA/um	 -224.0000000 nS	 -2.240000000 nS/um
16	 -4.2500 V	 0 V	 5.0000 V	 0 V	 10.5556 uA	 -2.714 pA	 105.5560000 nA/um	 -27.14000000 fA/um	 102.0000000 nS	 1.020000000 nS/um
17	 -4.2000 V	 0 V	 5.0000 V	 0 V	 10.5754 uA	 -2.628 pA	 105.7540000 nA/um	 -26.28000000 fA/um	 202.0000000 nS	 2.020000000 nS/um
18	 -4.1500 V	 0 V	 5.0000 V	 0 V	 10.5758 uA	 -2.673 pA	 105.7580000 nA/um	 -26.73000000 fA/um	 -68.00000000 nS	 -680.0000000 pS/um
19	 -4.1000 V	 0 V	 5.0000 V	 0 V	 10.5686 uA	 -2.537 pA	 105.6860000 nA/um	 -25.37000000 fA/um	 -222.0000000 nS	 -2.220000000 nS/um
20	 -4.0500 V	 0 V	 5.0000 V	 0 V	 10.5536 uA	 -2.396 pA	 105.5360000 nA/um	 -23.96000000 fA/um	 4.000000000 nS	 40.00000000 pS/um
21	 -4.0000 V	 0 V	 5.0000 V	 0 V	 10.5690 uA	 -2.446 pA	 105.6900000 nA/um	 -24.46000000 fA/um	 58.00000000 nS	 580.0000000 pS/um
22	 -3.9500 V	 0 V	 5.0000 V	 0 V	 10.5594 uA	 -2.533 pA	 105.5940000 nA/um	 -25.33000000 fA/um	 -52.00000000 nS	 -520.0000000 pS/um
