AsActive(cross1_fps) X,AsActive(cross1_fps) Y,BActive(cross1_fps) X,BActive(cross1_fps) Y
-1.4032679,1.0001399e+10,-1.4032679,1.0001399e+10
-1.4004997,1.0001399e+10,-1.4004997,1.0001399e+10
-1.3976437,1.0001399e+10,-1.3976437,1.0001399e+10
-1.3947877,1.0001399e+10,-1.3947877,1.0001399e+10
-1.3890758,1.0001399e+10,-1.3890758,1.0001399e+10
-1.3833639,1.0001399e+10,-1.3833639,1.0001399e+10
-1.3776519,1.0001399e+10,-1.3776519,1.0001399e+10
-1.366228,1.0001399e+10,-1.366228,1.0001399e+10
-1.3548042,1.0001399e+10,-1.3548042,1.0001399e+10
-1.3433803,1.0001399e+10,-1.3433803,1.0001399e+10
-1.3205326,1.0001399e+10,-1.3205326,1.0001399e+10
-1.2976848,1.0001399e+10,-1.2976848,1.0001399e+10
-1.2748371,1.0001399e+10,-1.2748371,1.0001399e+10
-1.2291416,1.0001399e+10,-1.2291416,1.0001399e+10
-1.1834461,1.0001399e+10,-1.1834461,1.0001399e+10
-1.1377506,1.0001399e+10,-1.1377506,1.0001399e+10
-1.0463596,1.0001399e+10,-1.0463596,1.0001399e+10
-1.0006641,1.0001399e+10,-1.0006641,1.0001399e+10
-0.95496863,1.0001399e+10,-0.95496863,1.0001399e+10
-0.93212088,1.0001399e+10,-0.93212088,1.0001399e+10
-0.90927313,1.0001399e+10,-0.90927313,1.0001399e+10
-0.88642539,1.0001399e+10,-0.88642539,1.0001399e+10
-0.86357764,1.0001399e+10,-0.86357764,1.0001399e+10
-0.85215377,1.0001399e+10,-0.85215377,1.0001399e+10
-0.8407299,1.0001399e+10,-0.8407299,1.0001399e+10
-0.82930602,1.0001399e+10,-0.82930602,1.0001399e+10
-0.82359409,1.0001399e+10,-0.82359409,1.0001607e+10
-0.81788215,1.0003941e+10,-0.81788215,1.0178052e+10
-0.81217021,1.1689384e+11,-0.81217021,1.2251901e+11
-0.80931425,1.1258426e+15,-0.80931425,1.801747e+13
-0.80645828,3.9613388e+18,-0.80645828,9.8139843e+14
-0.79589918,4.0798646e+18,-0.79589918,5.3040428e+15
-0.78502202,3.7731652e+18,-0.78502202,1.3643402e+16
-0.77488199,3.4257205e+18,-0.77488199,2.4459336e+16
-0.76426767,3.1405274e+18,-0.76426767,3.4615652e+16
-0.7539716,2.9279467e+18,-0.7539716,4.3113102e+16
-0.7438346,2.7803156e+18,-0.7438346,4.7346668e+16
-0.73023133,1.889504e+18,-0.73023133,1.0736852e+17
-0.73023133,0,-0.73023133,0
-0.73023133,3.708239e+19,-0.73023133,6.4427655e+15
-0.71981107,3.7068446e+19,-0.71981107,1.0048995e+16
-0.7083856,3.7018862e+19,-0.7083856,1.2227136e+16
-0.68553466,3.6814461e+19,-0.68553466,1.46558e+16
-0.66268372,3.647388e+19,-0.66268372,1.6382858e+16
-0.63983278,3.6002295e+19,-0.63983278,1.784978e+16
-0.59413089,3.4679361e+19,-0.59413089,2.0367495e+16
-0.54842901,3.2922516e+19,-0.54842901,2.2339374e+16
-0.50272713,3.0795056e+19,-0.50272713,2.3582733e+16
-0.45702525,2.8353425e+19,-0.45702525,2.396136e+16
-0.41132336,2.5656258e+19,-0.41132336,2.3440001e+16
-0.36562148,2.2782671e+19,-0.36562148,2.2106848e+16
-0.3199196,1.9859168e+19,-0.3199196,2.0184728e+16
-0.27421771,1.7098222e+19,-0.27421771,1.8028401e+16
-0.25136677,1.5893916e+19,-0.25136677,1.7011974e+16
-0.22851583,1.487128e+19,-0.22851583,1.6089386e+16
-0.21709036,1.4448853e+19,-0.21709036,1.5657201e+16
-0.20566489,1.4094547e+19,-0.20566489,1.5227487e+16
-0.19423942,1.3815199e+19,-0.19423942,1.4752567e+16
-0.18852668,1.3705629e+19,-0.18852668,1.4452969e+16
-0.18281395,1.3616844e+19,-0.18281395,1.407802e+16
-0.17710121,1.3549321e+19,-0.17710121,1.3567639e+16
-0.17138848,1.3503394e+19,-0.17138848,1.2807513e+16
